Ash(O),C(O),O/C(O),H/C(O),N/C(O),HHV(O),Moisture,Temperature,Time,Yield,C(H),O/C(H),H/C(H),N/C(H),Ash(H),HHV(H),CR,ER,C(O)/C(H),HHV(O)/HHV(H)
4.87,52.18,0.48,1.86,0.011,24.263,90.7,250,480,5.97,76.9,0.069,1.537,0.021,4.21,37.607,8.798,9.253,1.47374473,1.54997321
15.41,43.79,0.422,1.803,0.188,20.007,90.42,160,60,62.11,44.56,0.417,1.753,0.15,16.38,20.186,63.202,62.665,1.017583923,1.008946869
15.41,43.79,0.422,1.803,0.188,20.007,90.42,200,60,43.15,46.16,0.3,1.703,0.13,21.84,21.335,45.485,46.014,1.054121946,1.066376768
15.41,43.79,0.422,1.803,0.188,20.007,90.42,240,60,32.42,49.81,0.182,1.578,0.094,26.05,23.197,36.877,37.588,1.137474309,1.159444195
18.17,42,0.439,1.771,0.159,18.848,10.091,200,60,65.76,45.34,0.28,1.612,0.089,27.6,20.762,70.989,72.438,1.07952381,1.101549236
46.5,27.9,0.438,2.022,0.12,13.7,80,260,120,71.2,25.6,0.213,1.641,0.087,60.4,12.4,65.33,64.444,0.917562724,0.905109489
46.5,27.9,0.438,2.022,0.12,13.7,80,260,240,71.8,25.6,0.208,1.641,0.087,60.1,12.6,65.881,66.035,0.917562724,0.919708029
63.9,17.8,0.51,1.551,0.014,8.8,90.164,200,60,24.853,14,0.498,1.2,0.031,74.8,9.1,19.547,25.7,0.786516854,1.034090909
63.9,17.8,0.51,1.551,0.014,8.8,90.164,250,60,34.286,22.5,0.237,0.96,0.027,72.2,7.7,43.339,30,1.264044944,0.875
63,13.1,0.784,3.389,0.268,7.3,90.164,200,60,74.703,13.2,0.295,1.636,0.071,78.7,6,75.274,61.4,1.007633588,0.821917808
63,13.1,0.784,3.389,0.268,7.3,90.164,250,60,77.088,11.6,0.297,1.345,0.067,81.5,5,68.261,52.8,0.885496183,0.684931507
