Ash(O),C(O),O/C(O),H/C(O),N/C(O),HHV(O),Moisture,Temperature,Time,Yield,C(H),HHV(H),CR,ER
14.96,45.96,0.451,1.715,0.079,20.5,97.1,190,60,67,46.11,20.71,67.219,67.686
14.96,45.96,0.451,1.715,0.079,20.5,97.1,220,30,60.6,44.86,20.06,59.15,59.299
14.96,45.96,0.451,1.715,0.079,20.5,97.1,220,60,57.2,43.15,18.72,53.703,52.233
14.96,45.96,0.451,1.715,0.079,20.5,97.1,250,30,49.4,41.68,18.66,44.8,44.966
14.96,45.96,0.451,1.715,0.079,20.5,97.1,250,60,52,41.21,19.17,46.626,48.626
44.99,25.6,0.62,1.856,0.12,10.66,97.1,190,30,82.8,19.22,9.27,62.165,72.003
44.99,25.6,0.62,1.856,0.12,10.66,97.1,190,60,81.5,14.16,7.97,45.08,60.934
44.99,25.6,0.62,1.856,0.12,10.66,97.1,220,30,64.6,11.7,8.96,29.524,54.298
44.99,25.6,0.62,1.856,0.12,10.66,97.1,220,60,70.6,10.21,7.86,28.157,52.056
44.99,25.6,0.62,1.856,0.12,10.66,97.1,250,30,78.1,12.51,8.59,38.165,62.934
44.99,25.6,0.62,1.856,0.12,10.66,97.1,250,60,64.9,12.02,8.38,30.473,51.019
28.43,35.91,0.491,1.811,0.139,16.02,85.71,190,30,88.2,36.61,16.3,89.919,89.742
28.43,35.91,0.491,1.811,0.139,16.02,85.71,190,60,85.6,35.07,15.96,83.598,85.279
28.43,35.91,0.491,1.811,0.139,16.02,85.71,220,30,75.1,35.19,15.7,73.594,73.6
28.43,35.91,0.491,1.811,0.139,16.02,85.71,220,60,75.2,35.75,15.47,74.865,72.618
28.43,35.91,0.491,1.811,0.139,16.02,85.71,250,30,67.6,35.3,15.98,66.452,67.431
28.43,35.91,0.491,1.811,0.139,16.02,85.71,250,60,66.8,35.57,15.33,66.168,63.923
46.9,28.6,0.43,1.301,0.102,14.9,88.89,150,60,87.362,33.4,15,102.024,87.948
46.9,28.6,0.43,1.301,0.102,14.9,88.89,200,60,76.295,34,15.1,90.7,77.319
46.9,28.6,0.43,1.301,0.102,14.9,88.89,250,60,68.282,34.7,15.3,82.846,70.115
7.72,48.04,0.521,1.771,0.045,21.191,97.22,180,30,85.7,49.78,22.026,88.804,89.077
41.16,29.96,0.463,1.874,0.142,13.19,93.458,180,60,60.23,23.48,10.11,49,46.166
41.16,29.96,0.463,1.874,0.142,13.19,93.458,230,60,60.23,22.68,9.62,43,43.928
41.16,29.96,0.463,1.874,0.142,13.19,93.458,280,60,60.23,23.67,9.81,43,44.796
60.9,20.72,0.414,1.61,0.122,7.82,90.91,120,60,89.22,18.19,7.045,78.326,80.374
60.9,20.72,0.414,1.61,0.122,7.82,90.91,150,60,84.11,16.27,6.046,66.046,65.035
60.9,20.72,0.414,1.61,0.122,7.82,90.91,180,60,78.61,13.91,4.823,52.773,48.483
60.9,20.72,0.414,1.61,0.122,7.82,90.91,210,60,77.5,13.81,4.454,51.654,44.137
